Sample,Diet,treatment
1405,fish oil + pectin,AOM
1403,fish oil + pectin,AOM
1402,fish oil + pectin,AOM
1301,fish oil + cellulose,AOM
1204,corn oil + pectin,AOM
2806,fish oil + pectin,Saline
2805,fish oil + pectin,Saline
2804,fish oil + pectin,Saline
2706,fish oil + cellulose,Saline
2705,fish oil + cellulose,Saline
2704,fish oil + cellulose,Saline
2606,corn oil + pectin,Saline
2605,corn oil + pectin,Saline
2604,corn oil + pectin,Saline
2506,corn oil + cellulose,Saline
2505,corn oil + cellulose,Saline
2504,corn oil + cellulose,Saline
2410,fish oil + pectin,AOM
2409,fish oil + pectin,AOM
2408,fish oil + pectin,AOM
2311,fish oil + cellulose,AOM
2306,fish oil + cellulose,AOM
2210,corn oil + pectin,AOM
2209,corn oil + pectin,AOM
2207,corn oil + pectin,AOM
2111,corn oil + cellulose,AOM
2109,corn oil + cellulose,AOM
2108,corn oil + cellulose,AOM
2107,corn oil + cellulose,AOM
2106,corn oil + cellulose,AOM
1803,fish oil + pectin,Saline
1802,fish oil + pectin,Saline
1801,fish oil + pectin,Saline
1703,fish oil + cellulose,Saline
1702,fish oil + cellulose,Saline
1701,fish oil + cellulose,Saline
1603,corn oil + pectin,Saline
1602,corn oil + pectin,Saline
1601,corn oil + pectin,Saline
1503,corn oil + cellulose,Saline
1502,corn oil + cellulose,Saline
1501,corn oil + cellulose,Saline
1305,fish oil + cellulose,AOM
1303,fish oil + cellulose,AOM
1302,fish oil + cellulose,AOM
1205,corn oil + pectin,AOM
1202,corn oil + pectin,AOM
1103,corn oil + cellulose,AOM
