"Sample","treatment","oil","fiber"
1405,"AOM","fish","pectin"
1403,"AOM","fish","pectin"
1402,"AOM","fish","pectin"
1301,"AOM","fish","cellulose"
1204,"AOM","corn","pectin"
2806,"Saline","fish","pectin"
2805,"Saline","fish","pectin"
2804,"Saline","fish","pectin"
2706,"Saline","fish","cellulose"
2705,"Saline","fish","cellulose"
2704,"Saline","fish","cellulose"
2606,"Saline","corn","pectin"
2605,"Saline","corn","pectin"
2604,"Saline","corn","pectin"
2506,"Saline","corn","cellulose"
2505,"Saline","corn","cellulose"
2504,"Saline","corn","cellulose"
2410,"AOM","fish","pectin"
2409,"AOM","fish","pectin"
2408,"AOM","fish","pectin"
2311,"AOM","fish","cellulose"
2306,"AOM","fish","cellulose"
2210,"AOM","corn","pectin"
2209,"AOM","corn","pectin"
2207,"AOM","corn","pectin"
2111,"AOM","corn","cellulose"
2109,"AOM","corn","cellulose"
2108,"AOM","corn","cellulose"
2107,"AOM","corn","cellulose"
2106,"AOM","corn","cellulose"
1803,"Saline","fish","pectin"
1802,"Saline","fish","pectin"
1801,"Saline","fish","pectin"
1703,"Saline","fish","cellulose"
1702,"Saline","fish","cellulose"
1701,"Saline","fish","cellulose"
1603,"Saline","corn","pectin"
1602,"Saline","corn","pectin"
1601,"Saline","corn","pectin"
1503,"Saline","corn","cellulose"
1502,"Saline","corn","cellulose"
1501,"Saline","corn","cellulose"
1305,"AOM","fish","cellulose"
1303,"AOM","fish","cellulose"
1302,"AOM","fish","cellulose"
1205,"AOM","corn","pectin"
1202,"AOM","corn","pectin"
1103,"AOM","corn","cellulose"
